번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
1,060310,3S,032902,특수 목적용 기계 제조업,"44,772,143","22,386,071,500",500,원(KRW)
2,054620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500",500,원(KRW)
3,265520,AP시스템,032902,특수 목적용 기계 제조업,"14,480,227","7,240,113,500",500,원(KRW)
4,211270,AP위성,032604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000",500,원(KRW)
5,035760,CJ ENM,106002,텔레비전 방송업,"21,929,154","110,577,370,000","5,000",원(KRW)
6,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW)
7,058820,CMG제약,032102,의약품 제조업,"138,892,244","69,446,122,000",500,원(KRW)
8,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW)
9,065770,CS,032604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000",500,원(KRW)
10,083660,CSA 코스믹,032202,플라스틱제품 제조업,"19,747,641","9,873,820,500",500,원(KRW)
11,306620,DB금융스팩6호,116601,금융 지원 서비스업,"4,840,000","484,000,000",100,원(KRW)
12,322780,DB금융스팩7호,116601,금융 지원 서비스업,"4,550,000","455,000,000",100,원(KRW)
13,068790,DMS,032902,특수 목적용 기계 제조업,"23,042,487","11,521,243,500",500,원(KRW)
14,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"18,119,383","9,059,691,500",500,원(KRW)
15,245620,EDGC,137001,자연과학 및 공학 연구개발업,"36,172,940","3,617,294,000",100,원(KRW)
16,037370,EG,074607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW)
17,079190,EMW,032604,통신 및 방송 장비 제조업,"31,784,197","15,892,098,500",500,원(KRW)
18,130500,GH신소재,031309,기타 섬유제품 제조업,"11,000,000","5,500,000,000",500,원(KRW)
19,900290,GRT,116409,기타 금융업,"67,375,000","770,089,223",0,중국위안(CNY)
20,083450,GST,032902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500",500,원(KRW)
21,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW)
22,045890,GV,032804,전구 및 조명장치 제조업,"38,246,882","19,123,441,000",500,원(KRW)
